Year,State,Species,,Total catch PSE (proportional standard error),Total effort by number of directed trips,Total effort PSE,CPUE (which is catch/effort)
2002,Connecticut,BLUEFISH,1650,113.8,508,100,3.248
2003,Connecticut,BLUEFISH,8841,98.8,929,100,9.5167
1989,Georgia,BLUEFISH,301,100.4,301,100,1
1994,Delaware,COBIA,5333,89.9,"1,333",100,4.0008
2019,Delaware,COBIA,30,89.4,30,100,1
2021,Delaware,COBIA,197,99,197,100,1
1984,Georgia,COBIA,4844,76.9,"10,513",100,0.4608
1990,Georgia,COBIA,1467,76.7,"2,934",100,0.5
1996,Georgia,COBIA,982,87.5,982,100,1
1997,Georgia,COBIA,37,103,259,100,0.1429
2001,Georgia,COBIA,632,89.3,632,100,1
2005,Georgia,COBIA,44,100.1,Total catch in metric tons,100,#REF!
2006,Georgia,COBIA,116,99.4,347,100,0.3343
2010,Maryland,COBIA,42,94.6,49,100,0.8571
1981,Massachusetts,COBIA,7507,103.7,"1,877",100,3.9995
1986,New Jersey,COBIA,6322,919,"6,322",100,1
2006,New Jersey,COBIA,246,1072,246,100,1
2008,New Jersey,COBIA,34,1025,34,100,1
2012,New Jersey,COBIA,178,979,178,100,1
2021,New Jersey,COBIA,250,924,250,100,1
1985,New York,COBIA,1374,101.1,1374,100,1
2020,New York,COBIA,2979,70.6,"2,979",100,1
1981,North Carolina,COBIA,1690,97.6,"1,690",100,1
1983,North Carolina,COBIA,9464,91.4,"9,464",100,1
1991,South Carolina,COBIA,223,99.5,236,100,0.9449
1992,South Carolina,COBIA,33,100.3,138,100,0.2391
1995,South Carolina,COBIA,1947,99.5,"1,435",100,1.3568
1981,Virginia,COBIA,941,92,"1,750",100,0.5377
1988,Connecticut,SUMMER FLOUNDER,1447,98.8,1022,100,1.4159
1990,Connecticut,SUMMER FLOUNDER,150,100.8,299,100,0.5017
1992,Connecticut,SUMMER FLOUNDER,195,82.5,195,100,1
1987,Georgia,SUMMER FLOUNDER,326,79.1,326,100,1
1992,Georgia,SUMMER FLOUNDER,5146,109.8,2573,100,2
2006,Georgia,SUMMER FLOUNDER,2066,89.9,4131,100,0.5001
2008,Georgia,SUMMER FLOUNDER,14252,66.1,2591,100,5.5006
2011,Georgia,SUMMER FLOUNDER,4,106.9,26,100,0.1538
2016,Georgia,SUMMER FLOUNDER,176,115.8,235,100,0.7489
2022,Georgia,SUMMER FLOUNDER,1197,99.8,1197,100,1
1981,Maine,SUMMER FLOUNDER,1067,101.4,"1,067",100,1
1998,Maine,SUMMER FLOUNDER,1874,96.6,1874,100,1
2010,Maine,SUMMER FLOUNDER,56,95.8,56,100,1
1998,New Hampshire,SUMMER FLOUNDER,372,98.6,372,100,1
2007,New Hampshire,SUMMER FLOUNDER,270,100,270,100,1
2009,New Hampshire,SUMMER FLOUNDER,1459,97.8,1459,100,1
1993,South Carolina,SUMMER FLOUNDER,10080,86.2,5040,100,2
1994,South Carolina,SUMMER FLOUNDER,7452,101.9,3726,100,2
2019,South Carolina,SUMMER FLOUNDER,122,108.8,122,100,1
1987,Delaware,WINTER FLOUNDER,569,99.8,569,100,1
1990,Delaware,WINTER FLOUNDER,5609,81.9,579,100,9.6874
1998,Delaware,WINTER FLOUNDER,2,99.1,2,100,1
2001,Delaware,WINTER FLOUNDER,1965,67,1965,100,1
2007,Delaware,WINTER FLOUNDER,1332,75.1,1332,100,1
2009,Delaware,WINTER FLOUNDER,1096,96.2,1096,100,1
2010,Delaware,WINTER FLOUNDER,690,80.5,690,100,1
2012,Delaware,WINTER FLOUNDER,3,103.3,3,100,1
2015,Delaware,WINTER FLOUNDER,155,100.3,155,100,1
2020,Delaware,WINTER FLOUNDER,7,101.1,7,100,1
2021,Delaware,WINTER FLOUNDER,23,101.1,23,100,1
1990,Maryland,WINTER FLOUNDER,1221,107,1221,100,1
1997,Virginia,WINTER FLOUNDER,395,103.4,235,100,1.6809
1999,Virginia,WINTER FLOUNDER,6080,82.7,3040,100,2
1990,Maine,WINTER FLOUNDER,779,103.6,779,100,1
1997,Maine,WINTER FLOUNDER,37710,100.4,"2,611",100,14.4427
1998,Maine,WINTER FLOUNDER,2589,87.8,"5,178",100,0.5
1999,Maine,WINTER FLOUNDER,2069,97.5,"1,034",100,2.001
2008,Maine,WINTER FLOUNDER,5876,104.1,"5,876",100,1
2021,Maine,WINTER FLOUNDER,1669,80,"1,669",100,1
2022,Maine,WINTER FLOUNDER,1022,102.2,681,100,1.5007
2011,Rhode Island,WINTER FLOUNDER,25,98.7,25,100,1
2012,Rhode Island,WINTER FLOUNDER,1512,97,"1,512",100,1
2015,Rhode Island,WINTER FLOUNDER,44,102.5,44,100,1
2019,Rhode Island,WINTER FLOUNDER,3,99.3,3,100,1
2019,Connecticut,WINTER FLOUNDER,1133,95.8,567,100,1.9982
1995,New York,WINTER FLOUNDER,2854,105.3,"1,427",100,2
1996,New York,WINTER FLOUNDER,36856,93.7,"8,012",100,4.6001
1998,New York,WINTER FLOUNDER,11166,104,"1,396",100,7.9986
2017,New York,WINTER FLOUNDER,524,94,524,100,1
2022,New York,WINTER FLOUNDER,729,101.3,729,100,1
2010,Delaware,YELLOWFIN TUNA,12,105.7,31,100,0.3871
1985,New Jersey,YELLOWFIN TUNA,6194,86,18581,100,0.3334
1983,Virginia,YELLOWFIN TUNA,659,100.9,1647,100,0.4001
1984,Virginia,YELLOWFIN TUNA,12159,88.2,7836,100,1.5517
1991,Virginia,YELLOWFIN TUNA,6516,102.6,4262,100,1.5289
1981,Massachussets,YELLOWFIN TUNA,8906,85.6,9067,100,0.9822
1987,Massachussets,YELLOWFIN TUNA,1879,94.3,3759,100,0.4999
1989,Massachussets,YELLOWFIN TUNA,247,100.8,502,100,0.492
1994,Massachussets,YELLOWFIN TUNA,550,100.7,573,100,0.9599
1999,Massachussets,YELLOWFIN TUNA,1896,101.4,1004,100,1.8884
2001,Massachussets,YELLOWFIN TUNA,10,102.1,11,100,0.9091
2008,Massachussets,YELLOWFIN TUNA,1058,100.7,1058,100,1
2012,Massachussets,YELLOWFIN TUNA,3872,100.9,3872,100,1
2016,Massachussets,YELLOWFIN TUNA,3311,98.3,3311,100,1
2020,Massachussets,YELLOWFIN TUNA,6237,99.1,3118,100,2.0003
1981,Rhode Island,YELLOWFIN TUNA,14039,96.4,7086,100,1.9812
2019,Rhode Island,YELLOWFIN TUNA,24,67.9,24,100,1
1985,Connecticut,YELLOWFIN TUNA,4692,74.7,1877,100,2.4997
1994,Connecticut,YELLOWFIN TUNA,4991,99.4,3328,100,1.4997
2019,Connecticut,YELLOWFIN TUNA,8768,84.4,8768,100,1
2002,New York,YELLOWFIN TUNA,8163,85.7,16326,100,0.5
2004,New York,YELLOWFIN TUNA,57904,89.1,28952,100,2
2005,New York,YELLOWFIN TUNA,110167,87.5,110167,100,1
2006,New York,YELLOWFIN TUNA,18331,81.1,69107,100,0.2653
2007,New York,YELLOWFIN TUNA,68597,83.9,56032,100,1.2242
1982,South Carolina,YELLOWFIN TUNA,1006,72.7,1222,100,0.8232
2005,South Carolina,YELLOWFIN TUNA,7496,90.2,22489,100,0.3333
2007,South Carolina,YELLOWFIN TUNA,122,107.2,177,100,0.6893
2011,Maine,Black Sea Bass,3048,93.9,"3,048",100,1
2012,Maine,Black Sea Bass,5,102.3,5,100,1
2019,Maine,Black Sea Bass,1684,98.3,"1,684",100,1
2021,Maine,Black Sea Bass,1614,94.6,"1,614",100,1
1989,New Hampshire,Black Sea Bass,655,89.8,655,100,1
1991,New Hampshire,Black Sea Bass,538,78.2,538,100,1
1995,New Hampshire,Black Sea Bass,182,88.1,182,100,1
2000,New Hampshire,Black Sea Bass,265,95.5,265,100,1
2004,New Hampshire,Black Sea Bass,992,94.2,496,100,2
2012,New Hampshire,Black Sea Bass,2628,106,155,100,16.9548
2014,New Hampshire,Black Sea Bass,915,101.7,915,100,1
2017,New Hampshire,Black Sea Bass,7,97.8,7,100,1
1993,Connecticut,Black Sea Bass,63,105.9,65,100,0.9692
2000,Connecticut,Black Sea Bass,3754,101.6,"3,754",100,1
2002,Connecticut,Black Sea Bass,403,92.8,81,100,4.9753
2003,Connecticut,Black Sea Bass,148,100.9,120,100,1.2333
1987,DELAWARE,FLORIDA POMPANO,26,98.3,29,100,0.8966
1998,DELAWARE,FLORIDA POMPANO,2290,83.9,2290,100,1
2017,DELAWARE,FLORIDA POMPANO,469,101.9,1343,100,0.3492
1994,MARYLAND,FLORIDA POMPANO,1084,86.4,1084,100,1
2004,MARYLAND,FLORIDA POMPANO,3607,76.3,3607,100,1
2018,MARYLAND,FLORIDA POMPANO,7830,91.8,5365,100,1.4595
2020,MARYLAND,FLORIDA POMPANO,450,79.9,450,100,1
2012,MASSACHUSETTS,FLORIDA POMPANO,2004,105.8,2004,100,1
2005,NEW JERSEY,FLORIDA POMPANO,6724,112.5,6724,100,1
2021,NEW JERSEY,FLORIDA POMPANO,394,101.6,386,100,1.0207
1992,SOUTH CAROLINA,FLORIDA POMPANO,17964,103.7,2566,100,7.0008
1985,VIRGINIA,FLORIDA POMPANO,2375,107.7,2375,100,1
1996,VIRGINIA,FLORIDA POMPANO,13491,75.7,13491,100,1
1998,VIRGINIA,FLORIDA POMPANO,5103,90.9,2552,100,1.9996
1999,VIRGINIA,FLORIDA POMPANO,6030,78.3,6030,100,1
2005,VIRGINIA,FLORIDA POMPANO,14059,96.2,13181,100,1.0666
2006,VIRGINIA,FLORIDA POMPANO,233031,44.4,38839,100,5.9999
2009,VIRGINIA,FLORIDA POMPANO,5486,102.6,8229,100,0.6667
2010,VIRGINIA,FLORIDA POMPANO,38948,101.1,11328,100,3.4382
2015,VIRGINIA,FLORIDA POMPANO,2460,97,2460,100,1
2017,VIRGINIA,FLORIDA POMPANO,3062,100.2,1531,100,2
1984,GEORGIA,FLORIDA POMPANO,1590,106.5,3181,100,0.4998
1985,GEORGIA,FLORIDA POMPANO,2659,106.6,1329,100,2.0008
1992,GEORGIA,FLORIDA POMPANO,408,81.5,912,100,0.4474
2002,GEORGIA,FLORIDA POMPANO,,,731,100,
2004,GEORGIA,FLORIDA POMPANO,123840,81.5,53074,100,2.3333
2005,GEORGIA,FLORIDA POMPANO,2442,82.1,2442,100,1
2008,GEORGIA,FLORIDA POMPANO,12900,90.6,6450,100,2
2012,GEORGIA,FLORIDA POMPANO,1992,122.4,1992,100,1
2014,GEORGIA,FLORIDA POMPANO,2532,114.3,2532,100,1
2005,New York,ATLANTIC MACKEREL,32,96.3,"9,727",99.9,0.0033
1992,Connecticut,WINTER FLOUNDER,267,98.4,"1,066",99.9,0.2505
1996,Connecticut,Black Sea Bass,12439,80.9,"5,180",99.9,2.4014
2000,Massachussets,YELLOWFIN TUNA,13,104.2,2509,99.7,0.0052
2017,Virginia,ATLANTIC MACKEREL,31430,101.8,2628,99.6,11.9597
2012,Massachusetts,WINTER FLOUNDER,21149,102.2,"16,199",99.6,1.3056
1996,New York,Black Sea Bass,3854,98.8,"3,836",99.5,1.0047
1982,Rhode Island,Black Sea Bass,2117,96.7,"1,591",99,1.3306
2016,Maine,WINTER FLOUNDER,45192,55.2,"22,737",98.8,1.9876
2004,New Jersey,ATLANTIC MACKEREL,111,1081,22510,98.6,0.0049
2005,Rhode Island,YELLOWFIN TUNA,1116,102.7,1140,97.9,0.9789
1998,Georgia,SUMMER FLOUNDER,620,82.6,2455,97.8,0.2525
2014,New York,WINTER FLOUNDER,86549,93.7,"28,972",97.7,2.9873
1994,South Carolina,COBIA,15633,104.3,"16,067",97.3,0.973
1988,South Carolina,SUMMER FLOUNDER,72864,56.7,100362,97,0.726
2011,New York,WINTER FLOUNDER,37641,106.2,"25,355",97,1.4846
1988,Virginia,YELLOWFIN TUNA,4204,84,7414,96.7,0.567
2003,Virginia,ATLANTIC MACKEREL,8579,78.9,1642,96.5,5.2247
2003,Virginia,COBIA,774,99.4,"14,204",96.4,0.0545
2005,Georgia,SUMMER FLOUNDER,2071,78.3,3313,96.4,0.6251
2000,Georgia,SUMMER FLOUNDER,10,94.6,2802,96.2,0.0036
1993,New Jersey,ATLANTIC MACKEREL,52,1015,2754,96.1,0.0189
2020,Rhode Island,ATLANTIC MACKEREL,1420,62.5,"30,775",95.9,0.0461
2008,South Carolina,SUMMER FLOUNDER,499,80.3,21705,95.1,0.023
2022,Virginia,YELLOWFIN TUNA,3822,75.8,28182,94.8,0.1356
2006,Rhode Island,ATLANTIC MACKEREL,3267,96.5,"1,685",94.4,1.9389
1984,New Hampshire,Black Sea Bass,525,94.2,525,94.2,1
2008,Rhode Island,WINTER FLOUNDER,1950,90,"2,012",94,0.9692
2019,New Jersey,COBIA,10166,994,"10,868",93.7,0.9354
2019,New York,WINTER FLOUNDER,444,95.3,444,93.6,1
2018,Rhode Island,ATLANTIC MACKEREL,19983,75.4,"48,577",93.5,0.4114
1985,Connecticut,Black Sea Bass,1259,88.8,"2,517",93.3,0.5002
2013,New Jersey,ATLANTIC MACKEREL,1656,881,1478,92.9,1.1204
1981,North Carolina,YELLOWFIN TUNA,3877,107.2,4405,92.7,0.8801
2016,Rhode Island,YELLOWFIN TUNA,26,101.2,885,92.7,0.0294
2003,North Carolina,ATLANTIC MACKEREL,8490,991,658,92.6,12.9027
1987,South Carolina,COBIA,15700,86.8,"17,016",92.5,0.9227
1984,South Carolina,COBIA,603,79.8,"10,411",92.3,0.0579
2002,Maryland,ATLANTIC MACKEREL,10775,60.6,17044,92.1,0.6322
2021,Connecticut,WINTER FLOUNDER,225,94.5,235,91.9,0.9574
2000,Georgia,COBIA,138,92.6,"1,604",91.8,0.086
1985,Rhode Island,YELLOWFIN TUNA,207,56.6,10213,91.6,0.0203
2002,South Carolina,SUMMER FLOUNDER,26862,69.1,64341,91.3,0.4175
2003,Maryland,COBIA,4920,63.4,"13,098",90.8,0.3756
1985,New Hampshire,ATLANTIC MACKEREL,227517,98.3,"8,373",90.4,27.1727
2018,Maryland,YELLOWFIN TUNA,1029,71.5,2052,90.3,0.5015
2015,Rhode Island,YELLOWFIN TUNA,19704,89.7,10925,90.3,1.8036
1986,Connecticut,Black Sea Bass,24520,80.9,"25,422",90.2,0.9645
2002,South Carolina,COBIA,739,81.4,"5,914",89.9,0.125
2017,Maine,WINTER FLOUNDER,11824,92.7,"6,629",89.8,1.7837
1997,Massachussets,YELLOWFIN TUNA,134,100.6,1207,89.3,0.111
2001,GEORGIA,FLORIDA POMPANO,6772,62.3,6772,88.9,1
2022,Virginia,BLUEFISH,148036,89.9,49185,88.8,3.0098
2002,Massachussets,YELLOWFIN TUNA,111,106.3,7013,88.5,0.0158
2004,Georgia,SUMMER FLOUNDER,1520,73.3,1808,88.3,0.8407
2016,Georgia,COBIA,2309,76.8,"8,486",87.5,0.2721
1998,Virginia,ATLANTIC MACKEREL,3000,77.5,1052,87.3,2.8517
2018,Delaware,WINTER FLOUNDER,243,89.2,243,87.3,1
2009,South Carolina,YELLOWFIN TUNA,19,110.3,108,87.1,0.1759
2010,New York,WINTER FLOUNDER,5605,81,"8,690",86.6,0.645
2012,Delaware,YELLOWFIN TUNA,499,57.8,4294,86.6,0.1162
2015,Maryland,YELLOWFIN TUNA,11696,79.3,76743,86.4,0.1524
2021,Maryland,COBIA,653,83.5,"2,046",86.1,0.3192
2014,New Hampshire,SUMMER FLOUNDER,4134,80.5,4876,86.1,0.8478
2012,Virginia,COBIA,5465,65,"112,760",86,0.0485
2012,Virginia,YELLOWFIN TUNA,16321,76.4,18819,86,0.8673
2018,New York,YELLOWFIN TUNA,1565,72.2,5307,86,0.2949
2006,New Jersey,WINTER FLOUNDER,37693,958,69854,85.9,0.5396
2013,Connecticut,WINTER FLOUNDER,7618,73.2,"9,050",85.6,0.8418
2011,Delaware,YELLOWFIN TUNA,1194,73.1,1004,85.6,1.1892
1996,Connecticut,BLUEFISH,4895,54.3,4843,85.4,1.0107
2005,South Carolina,COBIA,73,78.1,"18,603",85.2,0.0039
2014,Connecticut,SUMMER FLOUNDER,79728,61.6,17955,85.1,4.4404
2017,Georgia,SUMMER FLOUNDER,58658,59.7,21657,85.1,2.7085
2022,New Hampshire,BLUEFISH,1281,88,4545,85,0.2818
2004,Rhode Island,WINTER FLOUNDER,4345,99.8,"11,784",85,0.3687
1990,Rhode Island,ATLANTIC MACKEREL,135938,80,"26,896",84.4,5.0542
2021,New Hampshire,WINTER FLOUNDER,247,70.4,"15,555",84.3,0.0159
1992,Maryland,SUMMER FLOUNDER,86591,75.1,34197,84.1,2.5321
2018,Rhode Island,WINTER FLOUNDER,359,72.3,538,84.1,0.6673
1981,New Jersey,YELLOWFIN TUNA,7711,666,14290,83.9,0.5396
1986,New Hampshire,Black Sea Bass,1546,85,"1,546",83.9,1
2006,Delaware,YELLOWFIN TUNA,11678,72.6,12279,83.8,0.9511
1983,Rhode Island,Black Sea Bass,5136,78.9,"9,299",83.7,0.5523
2018,Connecticut ,ATLANTIC MACKEREL,63,71.6,64,83.5,0.9844
1993,New Hampshire,SUMMER FLOUNDER,1679,61.1,2152,83.4,0.7802
1987,Maine,WINTER FLOUNDER,10932,63.4,"30,178",83.4,0.3623
1995,New Hampshire,SUMMER FLOUNDER,182,97.8,965,83.3,0.1886
2001,Rhode Island,ATLANTIC MACKEREL,33964,96.2,"2,051",83,16.5597
2009,South Carolina,SUMMER FLOUNDER,44981,98.4,25416,83,1.7698
2012,VIRGINIA,FLORIDA POMPANO,29927,69.4,29927,83,1
1981,New York,Black Sea Bass,37315,55.7,"21,758",82.9,1.715
2022,New Jersey,ATLANTIC MACKEREL,824,922,1357,82.7,0.6072
1984,New York,WINTER FLOUNDER,288720,62.9,"63,256",82.7,4.5643
1991,South Carolina,YELLOWFIN TUNA,195,100.1,903,82.5,0.2159
2015,New Jersey,ATLANTIC MACKEREL,305,777,305,82.3,1
2004,Virginia,ATLANTIC MACKEREL,2,113,5,82.2,0.4
1997,South Carolina,COBIA,6055,85.6,"6,635",82.2,0.9126
1990,New York,ATLANTIC MACKEREL,189544,89.4,"4,510",82.1,42.0275
1985,Connecticut ,ATLANTIC MACKEREL,4123,74.8,"1,467",82,2.8105
1990,Georgia,BLUEFISH,181064,72.1,25950,81.7,6.9774
1997,South Carolina,SUMMER FLOUNDER,14317,43.2,37949,81.4,0.3773
1992,Connecticut,YELLOWFIN TUNA,627,91.9,946,81.3,0.6628
2006,Delaware,ATLANTIC MACKEREL,1281,36.1,188,81.2,6.8138
2018,New York,WINTER FLOUNDER,1775,100.5,"6,729",81.2,0.2638
2008,New York,ATLANTIC MACKEREL,25155,63.8,"17,968",81.1,1.4
2015,Maryland,SUMMER FLOUNDER,191781,53.5,85023,81.1,2.2556
2019,Rhode Island,ATLANTIC MACKEREL,11262,79.5,"4,561",81,2.4692
2020,Connecticut,YELLOWFIN TUNA,3780,83.7,4379,80.9,0.8632
2011,New Jersey,WINTER FLOUNDER,75840,851,28075,80.8,2.7013
1996,South Carolina,COBIA,47400,96.7,"19,579",80.4,2.421
2007,Maryland,SUMMER FLOUNDER,139573,83.4,44924,80.1,3.1069
2012,New Hampshire,SUMMER FLOUNDER,1028,78.8,1020,80.1,1.0078
2015,Georgia,SUMMER FLOUNDER,3263,105.5,1850,79.9,1.7638
2020,Maryland,COBIA,630,107.1,"8,423",79.8,0.0748
1998,Maryland,ATLANTIC MACKEREL,14122,89.8,2223,79.7,6.3527
1996,North Carolina,ATLANTIC MACKEREL,445,911,301,79.7,1.4784
2007,GEORGIA,FLORIDA POMPANO,9322,86.3,11507,79.7,0.8101
2017,Georgia,COBIA,4830,72.6,"4,752",79.5,1.0164
2020,Rhode Island,WINTER FLOUNDER,95,68.2,95,79.2,1
1983,Maine,WINTER FLOUNDER,2979,69.4,"1,084",79.1,2.7482
2014,Connecticut,BLUEFISH,34575,62.9,5909,78.8,5.8512
2021,Connecticut ,ATLANTIC MACKEREL,1297,93.2,744,78.7,1.7433
2005,New Jersey,WINTER FLOUNDER,48022,781,49686,78.7,0.9665
2020,Maine,WINTER FLOUNDER,37915,63.8,"31,459",78.7,1.2052
1999,Georgia,SUMMER FLOUNDER,21212,91.8,6882,78.6,3.0822
2014,Rhode Island,YELLOWFIN TUNA,1045,101.8,6754,78.6,0.1547
2015,New Hampshire,Black Sea Bass,238,102.7,321,78.5,0.7414
1995,Rhode Island,ATLANTIC MACKEREL,5770,74.4,"3,568",78.3,1.6172
2002,Delaware,ATLANTIC MACKEREL,4078,56.2,1343,78.2,3.0365
2011,New York,YELLOWFIN TUNA,37059,71.6,123324,78.2,0.3005
2003,South Carolina,SUMMER FLOUNDER,1006,75.8,23722,78,0.0424
2022,Maryland,SUMMER FLOUNDER,74458,60.8,26024,77.8,2.8611
2019,New Jersey,WINTER FLOUNDER,652,435,4445,77.5,0.1467
2018,Connecticut,YELLOWFIN TUNA,543,74.9,2209,77.5,0.2458
2013,New York,YELLOWFIN TUNA,1121,107,5536,77.5,0.2025
1982,GEORGIA,FLORIDA POMPANO,9911,63.8,5933,77.4,1.6705
2002,Georgia,BLUEFISH,20623,63.1,13375,77,1.5419
1984,Maine,BLUEFISH,609,103.1,23297,76.9,0.0261
2004,Rhode Island,YELLOWFIN TUNA,171,93.2,150,76.9,1.14
1997,South Carolina,YELLOWFIN TUNA,304,95.7,272,76.9,1.1176
1996,Virginia,ATLANTIC MACKEREL,26251,47.5,5527,76.8,4.7496
2010,South Carolina,SUMMER FLOUNDER,1676,103,9208,76.7,0.182
1986,Rhode Island,YELLOWFIN TUNA,6524,54.6,7525,76.7,0.867
2018,Maryland,BLUEFISH,259820,62.8,60199,76.5,4.316
1984,New Jersey,WINTER FLOUNDER,524333,496,166750,76.3,3.1444
2012,South Carolina,SUMMER FLOUNDER,6406,100.9,32224,76.1,0.1988
1983,Connecticut,WINTER FLOUNDER,11048,44.7,"7,896",76.1,1.3992
1993,Delaware,YELLOWFIN TUNA,2279,81.2,2335,76,0.976
1985,South Carolina,YELLOWFIN TUNA,23269,66.5,12399,76,1.8767
2004,South Carolina,COBIA,8416,72.6,"26,229",75.9,0.3209
1994,Maine,WINTER FLOUNDER,3537,97.4,"5,851",75.9,0.6045
2006,South Carolina,SUMMER FLOUNDER,54512,49.9,18324,75.8,2.9749
1981,GEORGIA,FLORIDA POMPANO,4355,70.4,3703,75.8,1.1761
1981,Massachusetts,SUMMER FLOUNDER,123298,72.5,45397,75.7,2.716
2010,Maryland,YELLOWFIN TUNA,1495,30.6,57031,75.6,0.0262
2016,New York,YELLOWFIN TUNA,7683,93.3,27845,75.6,0.2759
2021,Delaware,YELLOWFIN TUNA,14360,70.6,3083,75.5,4.6578
1999,Delaware,YELLOWFIN TUNA,452,100.3,469,75.4,0.9638
1986,Connecticut ,ATLANTIC MACKEREL,126269,84.9,"3,889",75.1,32.4682
2010,New Jersey,WINTER FLOUNDER,5130,836,3650,75,1.4055
2010,New Jersey,COBIA,8212,783,"6,139",74.9,1.3377
1992,New Hampshire,WINTER FLOUNDER,5211,64.6,"1,987",74.9,2.6225
1981,Maine,WINTER FLOUNDER,73422,64.2,"40,931",74.7,1.7938
2010,New Hampshire,Black Sea Bass,2125,78.6,912,74.6,2.33
1990,Delaware,ATLANTIC MACKEREL,40170,97.1,981,74.4,40.948
2015,Georgia,COBIA,9216,58.1,"49,624",74.1,0.1857
2015,Virginia,COBIA,3072,65.7,"77,531",74,0.0396
2018,South Carolina,SUMMER FLOUNDER,1708,69.5,5763,73.6,0.2964
2016,Connecticut,YELLOWFIN TUNA,403,68.5,620,73.6,0.65
1989,South Carolina,YELLOWFIN TUNA,686,67.5,935,73.6,0.7337
2008,New Hampshire,SUMMER FLOUNDER,525,100.4,823,73.4,0.6379
1995,Massachusetts,Black Sea Bass,14512,58.4,"10,348",73.4,1.4024
2011,South Carolina,COBIA,27692,94.6,"39,167",73.3,0.707
1983,Maryland,COBIA,15,112.2,70,73.1,0.2143
2005,Rhode Island,WINTER FLOUNDER,75,62.3,107,73.1,0.7009
2021,New York,WINTER FLOUNDER,765,44.6,"1,213",73.1,0.6307
1999,New York,YELLOWFIN TUNA,10150,70.4,24505,73.1,0.4142
2002,Georgia,COBIA,53,70,203,73,0.2611
1987,Connecticut,SUMMER FLOUNDER,123545,79.3,33691,73,3.667
2021,New Jersey,ATLANTIC MACKEREL,1945,768,1974,72.9,0.9853
1983,New York,ATLANTIC MACKEREL,1856,88.7,"5,149",72.9,0.3605
2021,New Jersey,WINTER FLOUNDER,2523,939,8879,72.6,0.2842
2020,VIRGINIA,FLORIDA POMPANO,110997,67.3,34242,72.6,3.2415
2003,Georgia,YELLOWFIN TUNA,4,93.3,27,72.5,0.1481
